start_date,shutdown_status,end_date,country,sub_region,geo_scope,shutdown_type_new,affected_network,full or service-based,ordered_by,actual_cause,official_just,duration_affected_days,access_now_ID
10-Nov-2019,Ended,11-Nov-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Religious holiday/anniversary,Other,2,197
26-Jan-2019,Ended,27-Jan-2019,India,Southern Asia,Level 2,Shutdown,Mobile,Full network,State government,Religious holiday/anniversary,Other,2,21
24-May-2019,Ended,25-May-2019,India,Southern Asia,Level 2,Shutdown,"Broadband, Mobile",Full network,State government,Religious holiday/anniversary,Other,2,111
01-Jan-2019,Ended,02-Jan-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Religious holiday/anniversary,Other,2,6
08-Jul-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Religious holiday/anniversary,Other,1,156
31-Dec-2019,Ended,02-Jan-2020,Bangladesh,Southern Asia,Level 3,Shutdown,Mobile,Full network,Executive government,Unknown,National Security / Counter-Terrorism,3,214
17-Oct-2018,Ended,17-Mar-2019,Yemen,Western Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,Non-government,Unknown,Sabotage / Third-party Action,152,2
06-Nov-2019,Ended,06-Nov-2019,Yemen,Western Asia,Level 2,Shutdown,Broadband,Full network,Unknown,Unknown,Technical Problems / Infrastructure Failure,1,195
22-Nov-2019,Unknown,,Yemen,Western Asia,Level 1,Shutdown,Broadband,Full network,Unknown,Unknown,Technical Problems / Infrastructure Failure,1,201
27-Apr-2019,Ended,28-Apr-2019,Yemen,Western Asia,Level 1,Shutdown,Broadband,Full network,Non-government,Unknown,Technical Problems / Infrastructure Failure,2,84
23-Apr-2019,Ended,08-May-2019,Tajikistan,Central Asia,Level 3,Unknown,Unknown,Service-based,Executive government,Unknown,Unknown,16,79
29-Jan-2019,Unknown,,Yemen,Western Asia,Level 1,Shutdown,Broadband,Full network,Non-government,Unknown,Unknown,1,23
12-Apr-2019,Unknown,,Yemen,Western Asia,Level 1,Shutdown,Broadband,Full network,Non-government,Unknown,Unknown,1,72
11-Mar-2019,Unknown,,Yemen,Western Asia,Level 1,Shutdown,"Broadband, Mobile",Service-based,Non-government,Unknown,Unknown,1,50
17-Apr-2019,Ended,01-May-2019,Yemen,Western Asia,Level 1,Shutdown,Broadband,Full network,Unknown,Unknown,Unknown,15,74
08-Jul-2019,Unknown,,Yemen,Western Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,Unknown,Unknown,Unknown,1,157
15-Oct-2019,Ended,15-Oct-2019,Turkey,Western Asia,Level 3,Shutdown,"Broadband, Mobile",Service-based,Unknown,Unknown,Unknown,1,191
25-Jan-2019,Ended,25-Jan-2019,Venezuela (Bolivarian Republic of),South America,Level 3,Shutdown,"Broadband, Mobile",Service-based,Unknown,Unknown,Unknown,1,20
24-Apr-2019,Ended,25-Apr-2019,India,Southern Asia,Level 2,Unknown,Unknown,Service-based,Unknown,Unknown,Unknown,2,80
22-Apr-2019,Ended,24-Apr-2019,India,Southern Asia,Level 2,Unknown,Unknown,Service-based,Unknown,Unknown,Unknown,3,78
03-Oct-2019,Ended,10-Oct-2019,Iraq,Western Asia,Level 3,Shutdown,"Broadband, Mobile",Full network,Unknown,Unknown,Unknown,8,185
02-Oct-2019,Ended,21-Nov-2019,Iraq,Western Asia,Level 3,Shutdown,"Broadband, Mobile",Service-based,Unknown,Unknown,Unknown,51,184
03-Feb-2019,Ended,04-Feb-2019,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Visits by Government Officials,Other,2,25
